date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:24	3128/3128	---M--	200	added ('OK')	image/png	etag:%220d433f91963d01:0%22	http://cnettr.com/Storage/Icon/Dokunmatik.png	C:/cnet/Cnet/Storage/Icon/Dokunmatik.png	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:25	3065/3065	---M--	200	added ('OK')	image/png	etag:%220206ff41963d01:0%22	http://cnettr.com/Storage/Icon/Apple-Uyumu.png	C:/cnet/Cnet/Storage/Icon/Apple-Uyumu.png	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:26	2886/2886	---M--	200	added ('OK')	image/png	etag:%220b8e5ea1963d01:0%22	http://cnettr.com/Storage/Icon/AC.png	C:/cnet/Cnet/Storage/Icon/AC.png	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:27	3312/3312	---M--	200	added ('OK')	image/png	etag:%2206caaef1963d01:0%22	http://cnettr.com/Storage/Icon/Tasarim.png	C:/cnet/Cnet/Storage/Icon/Tasarim.png	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:27	3033/3033	---M--	200	added ('OK')	image/png	etag:%220c8434a1a63d01:0%22	http://cnettr.com/Storage/Icon/Guvenlik-Duvari.png	C:/cnet/Cnet/Storage/Icon/Guvenlik-Duvari.png	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:28	2986/2986	---M--	200	added ('OK')	image/png	etag:%2207715b1a63d01:0%22	http://cnettr.com/Storage/Icon/Usb-ile-dosya-Paylasma.png	C:/cnet/Cnet/Storage/Icon/Usb-ile-dosya-Paylasma.png	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:29	3028/3028	---M--	200	added ('OK')	image/png	etag:%220c0941a1a63d01:0%22	http://cnettr.com/Storage/Icon/Kablosuz-Kaplama-alani-Kontrolu.png	C:/cnet/Cnet/Storage/Icon/Kablosuz-Kaplama-alani-Kontrolu.png	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:29	3099/3099	---M--	200	added ('OK')	image/png	etag:%22084b77e1a63d01:0%22	http://cnettr.com/Storage/Icon/Tak-Kullan.png	C:/cnet/Cnet/Storage/Icon/Tak-Kullan.png	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:30	1063/1063	---M--	200	added ('OK')	image/png	etag:%22835d725ef33ed01:0%22	http://cnettr.com/Images/arrow_right.png	C:/cnet/Cnet/Images/arrow_right.png	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:30	364305/364305	---M--	200	added ('OK')	image/png	etag:%22b675977f3957d01:0%22	http://cnettr.com/spotcam/Storage/Web/Medium/2.png	C:/cnet/Cnet/spotcam/Storage/Web/Medium/2.png	(from http://cnettr.com/spotcam/)
